district,males,females,resident_population_2011,resident_population_2016,resident_population_2019,expected_population_2025
Adilabad,356407,352565,708972,733786,748675,778452
Bhadradri Kothagudem,532390,536871,1069261,1106685,1129140,1174049
Hyderabad,2018575,1924748,3943323,4081339,4164150,4329769
Jagtial,484079,501338,985417,1019906,1040601,1081988
Jangaon,283648,282728,566376,586199,598094,621881
Jayashankar Bhoopalpally,354203,357231,711434,736334,751275,781155
Jogulamba Gadwal,309274,300716,609990,631339,644150,669770
Kamareddy,478389,494236,972625,1006666,1027092,1067943
Karimnagar,504620,501091,1005711,1040910,1062031,1104271
Khammam,699124,702515,1401639,1450696,1480131,1539000
Komaram Bheem Asifabad,258197,257615,515812,533865,544698,566362
Mahabubabad,388058,386491,774549,801658,817924,850455
Mahbubnagar,745101,741676,1486777,1538814,1570037,1632482
Mancherial,408272,398765,807037,835283,852232,886127
Medak,378654,388774,767428,794287,810404,842636
Medchal,1246666,1193407,2440073,2525475,2576718,2679201
Mulugu,533686,527032,1060718,1097843,1120119,1164669
Nagarkurnool,437986,423780,861766,891927,910025,946220
Nalgonda,818306,800110,1618416,1675060,1709048,1777021
Narayanapet,517989,511531,1029520,1065553,1087174,1130413
Nirmal,346721,362697,709418,734247,749146,778941
Nizamabad,768477,802545,1571022,1626007,1659000,1724983
Peddapalli,399325,396007,795332,823168,839871,873275
Rajanna Sircilla,274109,277928,552037,571358,582952,606137
Ranga Reddy,1254184,1192081,2446265,2531884,2583256,2685999
Sangareddy,777235,750393,1527628,1581094,1613176,1677336
Siddipet,504141,507924,1012065,1047487,1068741,1111248
Suryapet,550974,548586,1099560,1138044,1161136,1207317
Vikarabad,463350,463790,927140,959589,979060,1018000
Wanaparthy,294833,282925,577758,597979,610113,634379
Warangal (Rural),360315,358222,718537,743685,758776,788954
Warangal (Urban),541301,539557,1080858,1118688,1141387,1186783
Yadadri Bhongir,374719,364729,739448,765328,780858,811914
