district,year_2016,year_2019,DCAGR
Adilabad,5075557,775895,-46.53
Bhadradri Kothagudem ,889030,12817737,143.39
Hyderabad,23394705,13802362,-16.13
Jagtial ,623077,3086115,70.46
Jangaon ,40660,328890,100.74
Jayashankar Bhoopalpally,243400,662530,39.62
Jogulamba Gadwal ,523401,2007995,56.55
Kamareddy ,127,534,61.4
Karimnagar ,9167468,77491,-79.63
Khammam,5005031,1413440,-34.39
Komaram Bheem Asifabad,0,19189,0
Mahabubabad ,140002,152885,2.98
Mahbubnagar,8304766,2534815,-32.67
Mancherial,7802,269810,225.8
Medak ,3463200,5452570,16.33
Nagarkurnool ,588473,2093312,52.65
Nalgonda,5858461,140918,-71.13
Nirmal,916610,3816778,60.88
Nizamabad,6442,46333,93.03
Peddapalli,3244,16581,72.26
Rajanna Sircilla ,2176801,16832897,97.75
Sangareddy ,778000,4553160,80.21
Siddipet,358400,2987864,102.77
Wanaparthy ,60138,298639,70.61
Warangal (Rural),19400,353500,163.15
Warangal (Urban),25788035,1795230,-58.86
Yadadri Bhongir,1728600,4489374,37.46
