district,visitors,resident_population_2019,pf_ratio
Adilabad,775901,748675,1.0364
Hyderabad,14121662,4164150,3.3912
"Jayashankar Bhoopalpally",662575,751275,0.8819
Khammam,1413440,1480131,0.9549
"Komaram Bheem Asifabad",19189,544698,0.0352
Mahbubnagar,2535255,1570037,1.6148
Mancherial,269820,852232,0.3166
Mulugu,1820375,1120119,1.6252
Nalgonda,140918,1709048,0.0825
Narayanapet,389255,1087174,0.3580
Nirmal,3816778,749146,5.0948
Nizamabad,46334,1659000,0.0279
Peddapalli,16581,839871,0.0197
Siddipet,2987864,1068741,2.7957
Suryapet,0,1161136,0.0000
"Warangal (Rural)",353500,758776,0.4659
"Warangal (Urban)",1797680,1141387,1.5750
"Yadadri Bhongir",4489374,780858,5.7493
